"member(N1,Q1)","member(N2,Q1)","member(N3,Q1)",one_a(R1),one_a(R2),one_a(R3),"one_b_msg(N1,R1,VO1)","one_b_msg(N1,R1,VO2)","one_b_msg(N1,R1,VO3)","one_b_msg(N1,R2,VO1)","one_b_msg(N1,R2,VO2)","one_b_msg(N1,R2,VO3)","one_b_msg(N1,R3,VO1)","one_b_msg(N1,R3,VO2)","one_b_msg(N1,R3,VO3)","one_b_msg(N2,R1,VO1)","one_b_msg(N2,R1,VO2)","one_b_msg(N2,R1,VO3)","one_b_msg(N2,R2,VO1)","one_b_msg(N2,R2,VO2)","one_b_msg(N2,R2,VO3)","one_b_msg(N2,R3,VO1)","one_b_msg(N2,R3,VO2)","one_b_msg(N2,R3,VO3)","one_b_msg(N3,R1,VO1)","one_b_msg(N3,R1,VO2)","one_b_msg(N3,R1,VO3)","one_b_msg(N3,R2,VO1)","one_b_msg(N3,R2,VO2)","one_b_msg(N3,R2,VO3)","one_b_msg(N3,R3,VO1)","one_b_msg(N3,R3,VO2)","one_b_msg(N3,R3,VO3)","left_round(N1,R1)","left_round(N1,R2)","left_round(N1,R3)","left_round(N2,R1)","left_round(N2,R2)","left_round(N2,R3)","left_round(N3,R1)","left_round(N3,R2)","left_round(N3,R3)","joined_round(N1,R1)","joined_round(N1,R2)","joined_round(N1,R3)","joined_round(N2,R1)","joined_round(N2,R2)","joined_round(N2,R3)","joined_round(N3,R1)","joined_round(N3,R2)","joined_round(N3,R3)","proposal(I1,R1,VA1)","proposal(I1,R1,VA2)","proposal(I1,R1,VA3)","proposal(I1,R2,VA1)","proposal(I1,R2,VA2)","proposal(I1,R2,VA3)","proposal(I1,R3,VA1)","proposal(I1,R3,VA2)","proposal(I1,R3,VA3)","proposal(I2,R1,VA1)","proposal(I2,R1,VA2)","proposal(I2,R1,VA3)","proposal(I2,R2,VA1)","proposal(I2,R2,VA2)","proposal(I2,R2,VA3)","proposal(I2,R3,VA1)","proposal(I2,R3,VA2)","proposal(I2,R3,VA3)","proposal(I3,R1,VA1)","proposal(I3,R1,VA2)","proposal(I3,R1,VA3)","proposal(I3,R2,VA1)","proposal(I3,R2,VA2)","proposal(I3,R2,VA3)","proposal(I3,R3,VA1)","proposal(I3,R3,VA2)","proposal(I3,R3,VA3)",active(R1),active(R2),active(R3),"vote(N1,I1,R1,VA1)","vote(N1,I1,R1,VA2)","vote(N1,I1,R1,VA3)","vote(N1,I1,R2,VA1)","vote(N1,I1,R2,VA2)","vote(N1,I1,R2,VA3)","vote(N1,I1,R3,VA1)","vote(N1,I1,R3,VA2)","vote(N1,I1,R3,VA3)","vote(N1,I2,R1,VA1)","vote(N1,I2,R1,VA2)","vote(N1,I2,R1,VA3)","vote(N1,I2,R2,VA1)","vote(N1,I2,R2,VA2)","vote(N1,I2,R2,VA3)","vote(N1,I2,R3,VA1)","vote(N1,I2,R3,VA2)","vote(N1,I2,R3,VA3)","vote(N1,I3,R1,VA1)","vote(N1,I3,R1,VA2)","vote(N1,I3,R1,VA3)","vote(N1,I3,R2,VA1)","vote(N1,I3,R2,VA2)","vote(N1,I3,R2,VA3)","vote(N1,I3,R3,VA1)","vote(N1,I3,R3,VA2)","vote(N1,I3,R3,VA3)","vote(N2,I1,R1,VA1)","vote(N2,I1,R1,VA2)","vote(N2,I1,R1,VA3)","vote(N2,I1,R2,VA1)","vote(N2,I1,R2,VA2)","vote(N2,I1,R2,VA3)","vote(N2,I1,R3,VA1)","vote(N2,I1,R3,VA2)","vote(N2,I1,R3,VA3)","vote(N2,I2,R1,VA1)","vote(N2,I2,R1,VA2)","vote(N2,I2,R1,VA3)","vote(N2,I2,R2,VA1)","vote(N2,I2,R2,VA2)","vote(N2,I2,R2,VA3)","vote(N2,I2,R3,VA1)","vote(N2,I2,R3,VA2)","vote(N2,I2,R3,VA3)","vote(N2,I3,R1,VA1)","vote(N2,I3,R1,VA2)","vote(N2,I3,R1,VA3)","vote(N2,I3,R2,VA1)","vote(N2,I3,R2,VA2)","vote(N2,I3,R2,VA3)","vote(N2,I3,R3,VA1)","vote(N2,I3,R3,VA2)","vote(N2,I3,R3,VA3)","vote(N3,I1,R1,VA1)","vote(N3,I1,R1,VA2)","vote(N3,I1,R1,VA3)","vote(N3,I1,R2,VA1)","vote(N3,I1,R2,VA2)","vote(N3,I1,R2,VA3)","vote(N3,I1,R3,VA1)","vote(N3,I1,R3,VA2)","vote(N3,I1,R3,VA3)","vote(N3,I2,R1,VA1)","vote(N3,I2,R1,VA2)","vote(N3,I2,R1,VA3)","vote(N3,I2,R2,VA1)","vote(N3,I2,R2,VA2)","vote(N3,I2,R2,VA3)","vote(N3,I2,R3,VA1)","vote(N3,I2,R3,VA2)","vote(N3,I2,R3,VA3)","vote(N3,I3,R1,VA1)","vote(N3,I3,R1,VA2)","vote(N3,I3,R1,VA3)","vote(N3,I3,R2,VA1)","vote(N3,I3,R2,VA2)","vote(N3,I3,R2,VA3)","vote(N3,I3,R3,VA1)","vote(N3,I3,R3,VA2)","vote(N3,I3,R3,VA3)","decision(N1,I1,R1,VA1)","decision(N1,I1,R1,VA2)","decision(N1,I1,R1,VA3)","decision(N1,I1,R2,VA1)","decision(N1,I1,R2,VA2)","decision(N1,I1,R2,VA3)","decision(N1,I1,R3,VA1)","decision(N1,I1,R3,VA2)","decision(N1,I1,R3,VA3)","decision(N1,I2,R1,VA1)","decision(N1,I2,R1,VA2)","decision(N1,I2,R1,VA3)","decision(N1,I2,R2,VA1)","decision(N1,I2,R2,VA2)","decision(N1,I2,R2,VA3)","decision(N1,I2,R3,VA1)","decision(N1,I2,R3,VA2)","decision(N1,I2,R3,VA3)","decision(N1,I3,R1,VA1)","decision(N1,I3,R1,VA2)","decision(N1,I3,R1,VA3)","decision(N1,I3,R2,VA1)","decision(N1,I3,R2,VA2)","decision(N1,I3,R2,VA3)","decision(N1,I3,R3,VA1)","decision(N1,I3,R3,VA2)","decision(N1,I3,R3,VA3)","decision(N2,I1,R1,VA1)","decision(N2,I1,R1,VA2)","decision(N2,I1,R1,VA3)","decision(N2,I1,R2,VA1)","decision(N2,I1,R2,VA2)","decision(N2,I1,R2,VA3)","decision(N2,I1,R3,VA1)","decision(N2,I1,R3,VA2)","decision(N2,I1,R3,VA3)","decision(N2,I2,R1,VA1)","decision(N2,I2,R1,VA2)","decision(N2,I2,R1,VA3)","decision(N2,I2,R2,VA1)","decision(N2,I2,R2,VA2)","decision(N2,I2,R2,VA3)","decision(N2,I2,R3,VA1)","decision(N2,I2,R3,VA2)","decision(N2,I2,R3,VA3)","decision(N2,I3,R1,VA1)","decision(N2,I3,R1,VA2)","decision(N2,I3,R1,VA3)","decision(N2,I3,R2,VA1)","decision(N2,I3,R2,VA2)","decision(N2,I3,R2,VA3)","decision(N2,I3,R3,VA1)","decision(N2,I3,R3,VA2)","decision(N2,I3,R3,VA3)","decision(N3,I1,R1,VA1)","decision(N3,I1,R1,VA2)","decision(N3,I1,R1,VA3)","decision(N3,I1,R2,VA1)","decision(N3,I1,R2,VA2)","decision(N3,I1,R2,VA3)","decision(N3,I1,R3,VA1)","decision(N3,I1,R3,VA2)","decision(N3,I1,R3,VA3)","decision(N3,I2,R1,VA1)","decision(N3,I2,R1,VA2)","decision(N3,I2,R1,VA3)","decision(N3,I2,R2,VA1)","decision(N3,I2,R2,VA2)","decision(N3,I2,R2,VA3)","decision(N3,I2,R3,VA1)","decision(N3,I2,R3,VA2)","decision(N3,I2,R3,VA3)","decision(N3,I3,R1,VA1)","decision(N3,I3,R1,VA2)","decision(N3,I3,R1,VA3)","decision(N3,I3,R2,VA1)","decision(N3,I3,R2,VA2)","decision(N3,I3,R2,VA3)","decision(N3,I3,R3,VA1)","decision(N3,I3,R3,VA2)","decision(N3,I3,R3,VA3)",none=R1,none=R2,none=R3
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
